,Player,Age,Team,Pos1,Pos2,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,DrbP,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB
225,Brice Dja Djédjé,28,ANK,DMC,M(R),1524,-,-,5,1,0.4,88.6,0.3,-,6.47,0.9,1.3,2,-,0.4,0.4,0.2,-,0.3,1.1,1.5,-,1.2,1,42.4,0.2,2.4,-
226,Dogukan Sinik,20,ANT,AM(LR),,1875,-,-,6,-,0.8,76,0.8,-,6.47,1.2,1,1.1,-,0.9,0.8,0.1,-,0.5,1.2,1,0.1,1.4,1.8,14.3,0.2,0.6,-
227,Tunay Torun,29,BUR,M(CLR),,1294,-,2,4,-,1,78.7,0.5,1,6.47,0.6,0.5,1.3,-,0.1,0.7,-,-,1,0.7,0.6,0.4,0.8,1.3,18.2,0.8,1.2,0.1
228,Paul Papp,29,SIV,D(CLR),,859,-,-,3,-,0.3,74.1,1.4,-,6.46,1.4,0.9,0.8,0.2,2.6,0.9,0.2,-,0.1,0.2,0.6,0.1,0.1,0.4,18.4,0.2,1,-
229,Eljif Elmas,19,FB,M(C),,1594,4,-,4,-,1.6,83.9,0.6,-,6.46,1.1,0.6,1.2,-,0.3,1,0.1,-,0.5,0.6,0.7,-,0.8,1.3,24.1,-,0.7,-
230,Yoan Gouffran,33,GOZ,M(CLR),FW,584,1,-,-,-,0.7,88.5,1.1,-,6.44,0.6,0.3,0.4,-,0.2,0.2,0.1,-,0.7,0.5,0.8,0.1,0.5,1,15.3,0.3,0.6,-
231,Diafra Sakho,29,BUR,FW,,1378,3,1,2,1,2.3,64.2,4.5,-,6.44,0.4,0.1,1.5,-,0.5,0.3,-,-,1,0.7,0.8,0.6,2.1,3.9,16.9,0.2,0.3,-
232,Haris Hajradinovic,25,KAS,AM(CR),,846,1,1,2,-,1.2,79.6,0.1,-,6.44,1.2,0.1,1.3,-,0.3,0.8,0.1,-,1,0.6,0.7,0.1,0.9,1.1,24.6,0.4,2.1,0.1
233,Okan Kocuk,23,BUR,GK,,1980,-,-,-,-,-,57.2,0.3,1,6.43,-,-,-,-,0.5,-,-,-,-,-,0.2,-,-,-,23.8,-,7.5,-
234,Gabriel Torje,29,SIV,AM(CLR),,762,-,1,2,-,1.3,63.8,0.1,-,6.42,0.6,0.3,0.5,-,0.3,0.3,0.1,-,0.9,0.4,0.8,-,0.5,0.8,14.8,0.8,0.2,0.1
235,Oguzhan Ozyakup,26,BJK,M(C),,793,1,3,2,-,0.8,83.2,0.3,1,6.42,0.7,0.6,0.4,-,0.3,0.6,-,-,0.9,0.1,0.7,0.1,0.6,0.6,26.6,0.3,1.1,0.1
236,Stefano Napoleoni,33,IBFK,AM(CL),,1285,3,1,-,-,1.2,86.2,0.1,-,6.42,0.6,0.4,0.2,-,0.2,0.7,-,-,0.5,0.4,0.5,0.2,0.7,0.9,20.1,0.1,0.3,-
237,Alihan Kubalas,27,ANK,D(C),,1244,-,-,3,-,0.4,76.3,1.6,-,6.41,1.1,1.4,1.3,0.2,3.5,0.4,0.6,-,0.1,-,0.8,0.1,0.1,0.4,29.1,-,2.6,-
238,Michael Pereira,31,YMS,M(LR),,998,-,1,-,-,0.9,79.7,0.8,-,6.41,0.8,0.6,0.4,-,0.3,0.3,-,-,0.6,0.5,0.8,0.2,0.7,1,16.5,0.4,0.7,-
239,Olexandr Kucher,36,KAY,D(CL),,1221,-,1,7,-,0.1,83.9,1,-,6.4,0.9,1.2,0.6,0.4,2.3,0.6,-,-,0.2,-,0.4,-,0.1,0.3,27.5,0.1,2.4,-
240,Tayfur Bingöl,26,GOZ,D(R),M(LR),1069,-,-,3,-,0.8,81.8,0.8,-,6.4,1.2,0.4,1,0.2,0.9,0.9,0.1,-,0.7,0.8,0.5,0.1,0.8,1.2,23.3,0.4,1.1,-
241,Ilhan Parlak,32,ANK,AM(CLR),FW,1576,4,3,1,-,1,64.5,1.6,-,6.39,0.4,0.5,0.8,-,1,0.7,0.1,-,0.5,0.1,0.7,0.1,0.6,1,13.6,-,0.2,-
242,Ahmed Ildiz,22,YMS,M(C),,1125,1,2,1,-,0.9,82.4,0.4,-,6.38,0.7,0.4,0.8,-,0.5,0.4,-,-,0.5,0.3,0.4,-,0.9,1.1,18,0.5,0.9,-
243,Mattias Bjärsmyr,33,SIV,D(C),,2429,-,1,4,-,0.3,79.6,1.6,-,6.38,0.8,0.6,0.8,0.5,2.9,0.5,0.4,-,0.1,-,0.2,-,-,0.1,33,-,2.4,-
244,Emmanuel Adebayor,35,IBFK,FW,,865,3,2,3,-,1.2,86.9,1.1,1,6.37,0.2,-,1.1,-,0.4,0.1,0.1,-,0.4,0.6,0.4,0.3,1.6,1.6,14.4,-,0.2,0.1
245,Sedat Agcay,37,ANK,DMC,,1401,-,-,5,-,0.7,78.9,0.6,-,6.37,1.8,0.8,0.7,-,0.5,1.9,0.1,-,0.3,0.5,0.5,-,0.2,0.8,24.9,0.1,2,-
246,Onur Ayik,29,AKH,AM(LR),,1046,1,3,3,-,0.8,67.2,1.6,-,6.36,0.5,0.2,1,-,0.7,0.3,-,-,0.6,0.1,1,0.3,0.6,1.4,12.5,-,0.1,-
247,Ilhan Depe,26,KAS,AM(CLR),,976,-,3,1,-,0.5,74.6,0.4,-,6.35,0.7,0.5,0.8,-,0.2,0.5,0.1,-,1.1,0.4,0.7,0.1,0.9,0.7,18.7,0.5,1.1,0.2
248,Avdija Vrsajevic,33,AKH,D(R),,1413,-,-,3,-,0.2,77.1,0.9,-,6.32,0.7,0.9,1.2,0.2,1.4,0.8,0.3,-,0.4,0.4,0.5,0.3,0.5,0.9,24.1,0.6,0.7,-
249,Vahid Amiri,31,TS,AM(C),,684,1,-,4,-,0.1,75.5,0.6,-,6.31,0.9,0.3,1.3,-,0.4,0.5,-,-,0.3,0.9,0.5,0.2,1,0.8,12.8,0.2,-,-
250,Bilal Kisa,36,AKH,M(C),,566,1,1,3,-,1.2,79,0.3,-,6.31,0.9,0.3,0.6,-,0.3,0.4,0.2,-,0.7,0.1,0.6,-,0.5,0.7,21.4,0.3,1.6,-
251,Soner Aydogdu,28,IBFK,M(C),,474,-,2,5,-,0.3,83.8,0.3,-,6.29,0.8,0.2,0.9,-,0.2,0.4,0.1,-,0.2,0.3,0.6,0.1,0.3,0.3,14.4,-,0.7,-
252,Thibault Moulin,29,ANK,M(C),,1220,-,-,6,-,0.8,81.9,0.5,-,6.29,0.8,0.5,0.8,-,0.7,0.5,0.2,-,0.9,0.2,0.5,-,0.7,0.4,33.4,0.4,1.5,-
253,Moussa Koné,29,ERZ,DMC,,771,-,-,3,-,0.7,84.5,0.8,-,6.27,0.8,0.5,0.6,0.1,0.3,0.3,0.1,-,0.3,0.4,0.6,0.1,0.8,0.7,22.3,-,0.6,-
254,Siphiwe Tshabalala,34,ERZ,AM(C),,442,-,1,-,-,0.7,87.7,0.1,-,6.26,0.3,0.3,0.2,-,0.1,0.5,-,-,0.6,0.5,0.4,-,0.4,0.6,16.3,0.3,0.5,0.1
255,Levent Gülen,25,KAY,D(CR),,1374,-,-,2,-,0.2,84.5,1.1,-,6.25,0.8,0.6,0.7,0.3,2,0.1,0.3,-,0.1,0.2,0.4,-,0.2,0.4,21.8,0.1,0.9,-
256,Erdogan Yesilyurt,25,SIV,Midfielder,,318,1,-,2,-,1.2,73.5,0.4,-,6.14,0.4,0.2,0.3,-,0.2,0.5,-,-,0.2,0.2,0.3,-,0.4,0.6,5.4,0.2,0.1,-
257,Jean-Armel Drole,21,ANT,Forward,,534,-,-,2,-,0.4,81.5,0.1,-,6.04,0.4,0.1,0.7,-,0.1,0.3,0.1,-,0.2,0.5,0.3,0.3,0.5,0.9,3.3,0.1,0.1,-
